지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 풍속(m/s),최대 풍속 풍향(16방위),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최저 해면기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C)
185,고산,2020-01-15,5.6,3.8,8.1,0,15.1,320,12.4,340,7.3,6331,360,-.7,52,63.6,5.8,1018,1028.8,1025.4,1026.9,10.2,8.9,6.5,5.3,2.6
185,고산,2020-01-16,5.9,4.5,7,,12,360,8.5,20,5.9,5096,20,-.3,56,65,6,1015.5,1026.6,1022.8,1024.4,10.2,9.4,7.6,5.9,3.7
185,고산,2020-01-17,6.5,6,7.8,,16.8,340,13.1,340,9,7794,340,0,56,63.1,6.1,1013,1023.2,1020.3,1021.8,10.2,7.8,5.3,6.8,4.8
185,고산,2020-01-18,6.8,6.1,8.5,,18.5,340,15.1,340,11.3,9747,340,.6,57,65,6.4,1012.1,1022.1,1019.6,1020.9,10.2,7.1,6.3,6.8,4.6
185,고산,2020-01-19,8.4,6.2,9.9,0,17,290,14.9,290,9.9,8541,340,2.2,52,65.4,7.2,1012.2,1022.2,1019.6,1020.9,10.3,9.5,7.5,6.5,4.8
185,고산,2020-01-20,8.1,6.7,10.3,,16.7,340,13.4,340,11,9483,340,.4,49,58.8,6.3,1015.1,1027,1021,1023.8,10.3,5.8,5.4,8.2,5
188,성산,2020-01-01,4.1,.9,6.4,,8.2,84.4,4.7,270,2.5,213120,270,-2.4,53.6,63,5.2,1029.5,1034,1030.5,1032.1,9.9,8,5.9,3.5,0
188,성산,2020-01-02,7,4,9,,6.9,219.4,3.5,180,2.1,184320,180,1.5,60.3,69,6.8,1026.9,1031.4,1028.1,1029.4,9.9,6.3,3.9,5.1,0
188,성산,2020-01-03,8.2,4.9,11.7,,8.3,357.2,5.4,360,2.5,212400,70,2.3,57.3,67,7.2,1023.9,1028.9,1024.4,1026.4,9.9,,,6.6,3.3
188,성산,2020-01-04,7.3,3.7,11.6,,8.5,244.7,5.2,340,2.7,236160,230,1.1,45.4,66,6.6,1023,1027.8,1023.8,1025.5,9.9,2,.4,6.1,1.4
188,성산,2020-01-05,7.9,2.3,12.3,,5.8,227.8,3.6,360,1.4,122760,200,1.3,48.6,64,6.8,1026.5,1030.9,1027.2,1029,9.9,5.6,4.5,6.8,-1
188,성산,2020-01-06,14.6,8.6,17.3,.4,7.2,323.4,5,290,3,255240,290,10.1,54.8,75,12.6,1021.3,1028.3,1019.3,1023.8,9.9,9.6,5.3,10.9,7.9
188,성산,2020-01-07,17.3,12.3,20.9,12.8,12.3,306.6,7.8,320,4.9,422640,340,14.3,68.1,83,16.5,1011,1019.5,1007.5,1013.4,9.9,,,16,11
188,성산,2020-01-08,7.5,6.2,13.4,.6,13,270,8.5,270,4.7,4101,340,1.6,56,66.5,6.9,1016.1,1023.2,1009.7,1018.6,10.1,9.4,8.9,7.7,5.3
188,성산,2020-01-09,6.4,5.3,7.6,,7.8,320,4.7,140,2.9,2524,320,.3,61,65.5,6.3,1020.4,1024.3,1021.9,1022.9,10.1,9.1,6.1,5.4,3.9
188,성산,2020-01-10,7.2,2.7,11.2,,6.7,290,4,290,2.2,1858,90,1.1,46,65.9,6.6,1019.2,1024.3,1020.1,1021.7,10.1,5.4,3.8,7.4,-.5
188,성산,2020-01-11,7.4,6.5,8.6,,8.5,230,4.5,320,3,2571,290,.3,50,60.9,6.3,1016,1021.1,1016.6,1018.5,10.1,9.1,6.8,6,5.9
188,성산,2020-01-12,6.5,5.7,8.6,,10.2,270,6.4,290,3,2614,20,-.8,48,59.6,5.7,1016.3,1021.4,1016,1018.8,10.1,8.6,7.6,5.3,4.3
188,성산,2020-01-13,6.1,4,9.1,,8.7,270,4.4,160,2.4,2079,340,-1.7,46,57.5,5.4,1020.5,1024.7,1020.9,1023,10.1,8.8,6.3,5.9,2.8
188,성산,2020-01-14,3.2,.4,4.9,9.8,6.3,360,3.7,90,1.8,1561,90,-.3,66,78.4,6,1022.2,1027.2,1022.7,1024.8,10.2,7.4,5.9,3.5,-3.7
188,성산,2020-01-15,4.3,1.4,6.8,0,7.9,360,3.7,110,2,1717,110,-1.8,56,64.3,5.4,1024.6,1029.4,1025.8,1027.1,10.2,8.5,6.8,4.2,-1.4
188,성산,2020-01-16,5.4,3.1,7.8,,6.4,360,4.1,290,2.1,1830,20,-2.5,45,57.3,5.1,1022.1,1026.7,1022.9,1024.6,10.2,8.8,5.9,5.2,2.4
188,성산,2020-01-17,5.9,4,8,,10.5,290,6.2,270,3.4,2938,270,-3.2,37,52.3,4.9,1018.6,1023.1,1019.2,1021.1,10.2,4.9,4.1,4,2.7
188,성산,2020-01-18,5.8,4.1,8.5,,11.1,230,6.2,250,3.5,3021,200,-2.1,47,56.6,5.2,1017.8,1021.6,1019.1,1020.3,10.2,2.4,.9,4.3,2.3
188,성산,2020-01-19,7.3,3.3,10.1,,7.9,270,4.8,340,2.9,2535,340,.1,49,60.5,6.2,1018.6,1022.2,1019.8,1021.1,10.3,7.5,5.1,4.3,1.7
188,성산,2020-01-20,7.2,4.3,10.3,,12,270,6.5,250,2.9,2485,50,-2,40,52,5.3,1021.4,1027.2,1021.6,1023.9,10.3,6,3.5,5.8,1.1
189,서귀포,2020-01-01,7,4.8,9.6,,5.9,211.5,3.4,230,1.2,102960,230,2.8,62.7,75,7.5,1024.4,1032.8,1030.2,1030.8,9.9,6.8,6.8,8,3.4
189,서귀포,2020-01-02,8.7,5.6,12.7,,3.6,214.3,2,20,1.1,92520,360,6.2,70.7,85,9.5,1022.3,1030.7,1027.5,1028.7,9.9,5.8,5.6,9.8,4.2
189,서귀포,2020-01-03,9.5,6.1,13.4,,5.4,180.5,2.5,50,1.4,118800,360,7.2,66.2,87,10.2,1019.1,1028,1023.7,1025.5,9.9,3.6,3.6,8.9,4.5
189,서귀포,2020-01-04,9.7,6.2,14,,4.8,166.4,2.7,180,1.6,140040,360,5.1,49.5,75,8.8,1018.2,1026.4,1023.1,1024.5,9.9,1,1,9.5,3.6
189,서귀포,2020-01-05,9.6,6.1,12.8,,4.3,124.1,2.3,360,1.4,117360,20,3.4,47.2,66,7.9,1022,1030.1,1026.1,1028.4,9.9,6.1,4.6,9,2.6
189,서귀포,2020-01-06,14.6,11.2,17.3,1.3,6.9,211.5,4,230,1.3,109800,20,12.5,58.7,88,14.8,1017.4,1028.1,1019.1,1023.6,9.9,10,6.8,13.5,8.3
189,서귀포,2020-01-07,16.8,12.4,18.4,16.3,14.3,200.2,9.1,250,3.6,310680,230,16.6,99,99,19,1007.5,1019.4,1007.9,1013.6,9.9,9.9,7.9,16.3,12.1
189,서귀포,2020-01-08,7.8,6.3,12.7,2.4,16,250,7.5,270,3.7,3239,270,4.4,61,80.5,8.5,1010.9,1021.8,1009.6,1017.2,10.1,5.9,4.6,7.9,4.3
189,서귀포,2020-01-09,8.4,5.9,9.8,,6.7,230,3.7,200,1.3,1161,20,5.4,68,82.3,9,1015.5,1023.2,1021.1,1021.9,10.1,8.8,5.1,8.1,4.2
189,서귀포,2020-01-10,9.4,6.1,13.1,,4.9,110,2.2,70,1.1,978,360,4.1,30,71.9,8.3,1014.7,1022.9,1019.8,1021,10.1,6,4.5,9.7,3.7
189,서귀포,2020-01-11,9.9,8.1,11.3,.3,4.4,230,1.9,200,.7,623,360,6.4,74,79,9.6,1011.4,1020,1015.6,1017.7,10.1,10,5.5,9.6,6.9
189,서귀포,2020-01-12,7.5,4.6,9.8,0,11.9,270,5,270,2,1701,270,.7,48,62.8,6.5,1011.6,1020.6,1015.2,1017.9,10.1,4.8,4.5,8.2,1.3
189,서귀포,2020-01-13,7,3.2,10.6,,8,270,3.4,200,1.2,1043,250,-.4,47,59.8,6,1015.9,1023.9,1019.9,1022.3,10.2,5.3,4.9,7.9,.3
189,서귀포,2020-01-14,5.4,3.5,7.9,12.4,4.1,200,2.2,180,1,873,50,3.5,58,88.5,7.9,1017.2,1026.9,1021.5,1023.6,10.2,7.3,6.4,5.3,1
189,서귀포,2020-01-15,6.4,3,9.3,,5.5,140,2.6,180,1,846,360,1.3,56,70.9,6.8,1019.8,1028.6,1024.9,1026.3,10.2,6.5,4,6.2,.2
189,서귀포,2020-01-16,8.2,6.8,10.3,,4.8,200,2.2,230,.7,617,20,4.6,59,78.9,8.5,1017.3,1025.7,1022.2,1023.7,10.2,9.6,3.5,9.2,5.2
189,서귀포,2020-01-17,8.6,4.5,12.7,0,4.6,250,2.3,180,1.1,910,360,.8,39,59.3,6.6,1013.8,1022.2,1018.3,1020.1,10.2,5.4,3.6,9.4,1.7
189,서귀포,2020-01-18,7.1,2.7,11.5,,6.8,160,2.8,180,1.4,1214,360,.4,39,63.8,6.3,1013.2,1020.6,1018.3,1019.6,10.2,1.5,1.5,5.8,.1
189,서귀포,2020-01-19,7.9,4.6,10.5,,8.5,20,4,360,1.8,1523,270,2.2,52,68,7.2,1014.2,1021.8,1019.3,1020.6,10.3,8.5,7.6,6.9,2.1
189,서귀포,2020-01-20,8.2,5.4,11.9,,10.1,250,4.4,250,2,1744,270,-.9,31,53,5.8,1016.7,1026.1,1020.8,1023.1,10.3,3.1,3.1,8.4,1.4
