
[검색조건]
지점명 : 제주, 기간 : 20190101 ~ 20191231
일자,기온(°C),풍속(m/s),체감기온(°C)
2019-05-26,22.5,2,22.5
2019-05-27,21.8,4.3,21.8
2019-05-28,18.7,2.7,18.7
2019-05-29,22.3,2.8,22.3
2019-05-30,21.7,1.7,21.7
2019-05-31,18.2,3,18.1
2019-06-01,18.9,1.9,18.9
2019-06-02,20.1,1.8,20.1
2019-06-03,21.1,1.6,21.1
2019-06-04,22.5,2.6,22.5
2019-06-05,22.5,1.7,22.5
2019-06-06,23.1,3.1,23.1
2019-06-07,20.2,6.2,20.1
2019-06-08,19.8,2.8,19.8
2019-06-09,20.1,3,20.1
2019-06-10,20.3,3.4,20.3
2019-06-11,20.3,2.8,20.3
2019-06-12,19.9,2.1,19.9
2019-06-13,21.7,2.7,21.7
2019-06-14,19.7,2.8,19.7
2019-06-15,20,3.7,20
2019-06-16,20.5,3.4,20.5
2019-06-17,20.6,1.7,20.6
2019-06-18,21.6,1.6,21.6
2019-06-19,21.6,2.5,21.6
2019-06-20,22.1,1.6,22.1
2019-06-21,22.7,1.7,22.7
2019-06-22,22.2,3.1,22.2
2019-06-23,21.2,2.9,21.2
2019-06-24,21.7,2.2,21.7
2019-06-25,24,3.3,24
2019-06-26,22.2,2.5,22.2
2019-06-27,23.3,2.9,23.3
2019-06-28,23.3,1.8,23.3
2019-06-29,25.2,3.6,25.2
2019-06-30,23.3,2.6,23.3
2019-07-01,23.5,1.4,23.5
2019-07-02,23.2,1.9,23.2
2019-07-03,22.6,2.1,22.6
2019-07-04,22.4,1.6,22.4
2019-07-05,24,2.4,24
2019-07-06,23.8,3.1,23.8
2019-07-07,23.4,4,23.4
2019-07-08,21.7,3.1,21.7
2019-07-09,21.9,2.8,21.9
2019-07-10,21.5,3.6,21.5
2019-07-11,23.1,4,23.1
2019-07-12,23.4,2.2,23.4
2019-07-13,21.7,2.2,21.7
2019-07-14,24,1.7,24
2019-07-15,24.3,2.2,24.3
2019-07-16,24.7,3.1,24.7
2019-07-17,25.1,2.9,25.1
2019-07-18,24.3,2.2,24.3
2019-07-19,24.1,3.7,24.1
2019-07-20,25.9,5.1,25.9
2019-07-21,27.2,4.2,27.2
2019-07-22,26.7,2.1,26.7
2019-07-23,27.3,2.2,27.3
2019-07-24,28,2.2,28
2019-07-25,27.9,2.2,27.9
2019-07-26,27.9,1.9,27.9
2019-07-27,28.1,1.7,28.1
2019-07-28,28.9,2.5,28.9
2019-07-29,28.6,2.2,28.6
2019-07-30,30.4,2.5,30.4
2019-07-31,29.6,2.3,29.6
2019-08-01,29,2,29
2019-08-02,28.8,2.8,28.8
2019-08-03,28.7,2.6,28.7
2019-08-04,28,3.4,28
2019-08-05,27.8,2.4,27.8
2019-08-06,28.6,2.2,28.6
2019-08-07,29.7,2,29.7
2019-08-08,30.8,2.8,30.8
2019-08-09,30.1,3.3,30.1
2019-08-10,29.6,4.8,29.6
2019-08-11,28.8,5.7,28.8
2019-08-12,29.5,2.5,29.5
2019-08-13,29.3,2.4,29.3
2019-08-14,28.7,2.5,28.7
2019-08-15,27.1,4.1,27.1
2019-08-16,27.8,4.4,27.8
2019-08-17,28.8,3.1,28.8
2019-08-18,27.3,2,27.3
2019-08-19,26.4,1.8,26.4
2019-08-20,27.1,3.4,27.1
2019-08-21,27.9,1.4,27.9
2019-08-22,28.2,3.3,28.2
2019-08-23,27.4,2,27.4
2019-08-24,26.9,2.1,26.9
2019-08-25,25.7,2.2,25.7
2019-08-26,25.7,2.7,25.7
2019-08-27,27.2,2.8,27.2
2019-08-28,24.9,2,24.9
2019-08-29,23.1,2.4,23.1
2019-08-30,25.6,2.6,25.6
2019-08-31,24.6,2.1,24.6
2019-09-01,23.5,2,23.5
2019-09-02,23.9,2.4,23.9
2019-09-03,24.7,2.2,24.7
2019-09-04,24.8,1.5,24.8
2019-09-05,25.9,1.7,25.9
2019-09-06,26.6,4.1,26.6
2019-09-07,27.7,6.9,27.7
2019-09-08,24.5,1.9,24.5
2019-09-09,25.9,2.8,25.9
2019-09-10,26.9,1.7,26.9
2019-09-11,26.1,1.8,26.1
2019-09-12,24.2,3.2,24.2
2019-09-13,24,3,24
2019-09-14,24.2,2.2,24.2
2019-09-15,24.7,2,24.7
2019-09-16,24.7,1.9,24.7
2019-09-17,24,2.8,24
2019-09-18,23.6,2.4,23.6
2019-09-19,22.7,3.2,22.7
2019-09-20,22.6,3.9,22.6
2019-09-21,20.5,5.2,20.4
2019-09-22,20.5,9.1,20.3
2019-09-23,21.5,2.7,21.5
2019-09-24,20.4,1.9,20.4
2019-09-25,21.4,2.5,21.4
2019-09-26,23.7,3.7,23.7
2019-09-27,23.8,3.2,23.8
2019-09-28,24,1.9,24
2019-09-29,24,1.6,24
2019-09-30,23.7,1.3,23.7
2019-10-01,23.5,2.4,23.5
2019-10-02,24.5,5.1,24.5
2019-10-03,23.5,5.1,23.5
2019-10-04,23.1,2.1,23.1
2019-10-05,21.2,3,21.2
2019-10-06,20.7,2.7,20.7
2019-10-07,21.8,3.3,21.8
2019-10-08,20.7,3.7,20.7
2019-10-09,17.6,1.8,17.6
2019-10-10,18.6,2,18.6
2019-10-11,20.8,2.1,20.8
2019-10-12,21.4,2.4,21.4
2019-10-13,19.8,3.1,19.8
2019-10-14,19.3,2.9,19.3
2019-10-15,17.3,2.4,17.2
2019-10-16,18,2.3,18
2019-10-17,18.9,3.1,18.9
2019-10-18,19.3,3.3,19.3
2019-10-19,20,2.3,20
2019-10-20,18.9,2.3,18.9
2019-10-21,19.8,2.9,19.8
2019-10-22,20.5,2.9,20.5
2019-10-23,20.4,3.1,20.4
2019-10-24,20.3,3.5,20.3
2019-10-25,20,2.5,20
2019-10-26,16.8,4.4,16.4
2019-10-27,16.2,2.7,16
2019-10-28,15.5,1.9,15.3
2019-10-29,18,3.1,17.9
2019-10-30,16.5,2.7,16.5
2019-10-31,16.2,2.3,16.2
2019-11-01,18.3,2.4,18.3
2019-11-02,18.5,2.5,18.5
2019-11-03,17.6,1.7,17.6
2019-11-04,16.9,2.3,16.9
2019-11-05,17.6,2.2,17.6
2019-11-06,15.6,2.1,15.5
2019-11-07,16.1,2.8,16
2019-11-08,13.8,3.1,13.3
2019-11-09,14.5,3,14
2019-11-10,15.2,3.2,15
2019-11-11,17.2,5.3,16.7
2019-11-12,14.8,1.7,14.8
2019-11-13,15,2.7,14.8
2019-11-14,11.7,4.2,10.5
2019-11-15,11.9,2.1,11.4
2019-11-16,15.6,2.2,15.4
2019-11-17,19.6,2.2,19.6
2019-11-18,14.6,5.4,13.4
2019-11-19,10.7,5.2,8.7
2019-11-20,10.1,3.3,8.8
2019-11-21,12.6,2.7,12
2019-11-22,16.9,2.9,16.9
2019-11-23,17.9,3.1,17.9
2019-11-24,17.7,2.6,17.6
2019-11-25,10.4,3.7,9
2019-11-26,13.1,2.6,12.7
2019-11-27,11.5,4.6,9.9
2019-11-28,10.7,3.6,9.4
2019-11-29,10,2.9,8.9
2019-11-30,12.1,2.1,11.6
2019-12-01,12.4,2.8,11.8
2019-12-02,10.1,5.9,7.8
2019-12-03,9.3,3.9,7.5
2019-12-04,11.4,3.5,10.1
2019-12-05,9,4.4,6.9
2019-12-06,4.2,4.2,1.3
2019-12-07,7.2,3.7,5
2019-12-08,8.9,3,7.6
2019-12-09,10.4,2.4,9.6
2019-12-10,13.2,2.7,12.7
2019-12-11,13.1,4,12.1
2019-12-12,8.7,3.8,6.9
2019-12-13,8.3,1.7,7.6
2019-12-14,10.1,2.6,9.3
2019-12-15,12.1,2.5,11.6
2019-12-16,14.8,2.5,14.6
2019-12-17,14.2,3.1,13.6
2019-12-18,9,4,7.1
2019-12-19,7.8,3.6,5.9
2019-12-20,8.5,3,7.1
2019-12-21,7.9,1.7,7.2
2019-12-22,9.7,2.1,9.1
2019-12-23,9.3,3,8
2019-12-24,9.2,2.3,8.3
2019-12-25,11.1,2.1,10.7
2019-12-26,10.3,4.2,8.8
2019-12-27,6.7,5.4,3.8
2019-12-28,7.7,2.1,6.8
2019-12-29,11.4,2.8,10.5
2019-12-30,12,3.5,10.9
2019-12-31,3.1,5.4,-0.6
